         22117845 function calls (22082351 primitive calls) in 663.007 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9  633.595   70.399  646.119   71.791 C:\Users\m36330ac\Documents\MEGA\Eduardo Alejandro Martinez Cesena\WP3\Python\from Wangwei\NEW\ATTEST_Tool3.2\engines\run_OPF_jl.py:289(run_jl)
  1085558    3.264    0.000    5.326    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\xml\etree\ElementTree.py:1650(_start)
     1688    3.052    0.002   11.635    0.007 {method 'Parse' of 'pyexpat.xmlparser' objects}
  1451790    2.332    0.000    2.790    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tableutils.py:84(cols)
      432    1.676    0.004    2.406    0.006 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\filemanager.py:132(get_xml_element)
  1073484    1.512    0.000    3.654    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tableutils.py:69(<genexpr>)
  1085558    1.149    0.000    1.150    0.000 {method 'start' of 'xml.etree.ElementTree.TreeBuilder' objects}
  3653908    1.126    0.000    1.126    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\xml\etree\ElementTree.py:1633(_fixname)
  1081590    0.982    0.000    1.494    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\xml\etree\ElementTree.py:1662(_end)
  1081590    0.920    0.000    2.593    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\xml\etree\ElementTree.py:1591(handler)
   449514    0.636    0.000    1.809    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablenormalizer.py:91(expand_cell)
     1602    0.607    0.000    0.607    0.000 {built-in method io.open}
  1717710    0.568    0.000    0.568    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\xmlns.py:38(_prefix2clark_cached)
    30942    0.486    0.000    2.295    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tablenormalizer.py:39(expand_cells)
  1482732    0.426    0.000    0.426    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tableutils.py:81(__init__)
    19530    0.425    0.000    1.921    0.000 C:\Users\m36330ac\.conda\envs\test_Wangwei\lib\site-packages\openpyxl\worksheet\_read_only.py:58(_cells_by_row)
74562/74398    0.388    0.000    4.050    0.000 {built-in method builtins.sum}
    64242    0.384    0.000    0.411    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tableutils.py:71(new_empty_cell)
     7344    0.369    0.000    0.374    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\tableutils.py:65(get_table_rows)
   109116    0.297    0.000    0.886    0.000 C:\Users\m36330ac\AppData\Roaming\Python\Python39\site-packages\ezodf\cells.py:61(value)
